"ID","Fecha","Nombre","Codigo","Producto","Cantidad","Totalventas"
"2","2014-01-01","Valentina Tapia Castro","B00F3J4B5S","Samsung Galaxy A20","4","6900.00"
"3","2014-01-02","Gabriela Rojas Huerta","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"4","2014-01-02","Carla Fernández Mendoza","B01DZJFWNC","Samsung Galaxy S69","1","998.40"
"5","2014-01-02","Luisa García López","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"6","2014-01-02","Juan Carlos Rodríguez Huamán","B016381QZA","Samsung Galaxy J7","4","8066.00"
"7","2014-01-03","Ricardo Gómez Vargas","B00J0O5J4Y","Xiaomi Redmi Note 9","2","3366.00"
"8","2014-01-03","Diego Morales Castro","B01KBH547A","BLU Studio X8","3","3036.00"
"9","2014-01-04","Silvia Ramírez Rivera","B00K15Q2B0","Samsung Galaxy S5","15","32508.00"
"10","2014-01-04","Laura Flores Guzmán","B00NQGP42Y","Moto G Plus","2","4752.00"
"11","2014-01-04","Eduardo Cáceres Salazar","B00NQGP42Y","Moto G Plus","2","4752.00"
"12","2014-01-04","Andrés Ramos Silva","B01LQV1YHO","Huawei Nexus 6P","2","3248.00"
"13","2014-01-04","Carlos González Medina","B01KBH547A","BLU Studio X8","2","2024.00"
"14","2014-01-04","Julio Vargas López","B00F3J4B5S","Samsung Galaxy A20","6","10350.00"
"15","2014-01-05","Miguel Ángel Vega Torres","B00J0O5J4Y","Xiaomi Redmi Note 9","4","6732.00"
"16","2014-01-05","Ana María Castro Chávez","B01KBH547A","BLU Studio X8","3","3036.00"
"17","2014-01-05","Sofía Castro Valdez","B00NQGP42Y","Moto G Plus","2","4752.00"
"18","2014-01-05","Ricardo Gómez Vargas","B01KBH547A","BLU Studio X8","1","1012.00"
"19","2014-01-05","Silvia Ramírez Rivera","B018IZ0SWI","BLU Advance 5.0","19","30780.00"
"20","2014-01-05","Valentina Torres Vega","B00NQGP42Y","Moto G Plus","3","7128.00"
"21","2014-01-05","Diego Morales Castro","B00J0O5J4Y","Xiaomi Redmi Note 9","2","3366.00"
"22","2014-01-05","Luisa García López","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"23","2014-01-05","Gabriela Rojas Huerta","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"24","2014-01-05","Juan Carlos Rodríguez Huamán","B01EYT1URO","Apple iPhone 6","3","3937.50"
"25","2014-01-06","Carla Fernández Mendoza","B01EYT1URO","Apple iPhone 6","2","2625.00"
"26","2014-01-06","Eduardo Cáceres Salazar","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"27","2014-01-07","Laura Flores Guzmán","B00NQGP42Y","Moto G Plus","2","4752.00"
"28","2014-01-07","Carlos González Medina","B01LQV1YHO","Huawei Nexus 6P","1","1624.00"
"29","2014-01-07","Andrés Ramos Silva","B00NQGP42Y","Moto G Plus","2","4752.00"
"30","2014-01-07","Miguel Ángel Vega Torres","B01EYT1URO","Apple iPhone 6","2","2625.00"
"31","2014-01-07","Julio Vargas López","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"32","2014-01-07","Silvia Ramírez Rivera","B01DZJFWNC","Samsung Galaxy S69","3","2995.20"
"33","2014-01-07","Diego Morales Castro","B016381QZA","Samsung Galaxy J7","1","2016.50"
"34","2014-01-08","Sofía Castro Valdez","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"35","2014-01-08","Ricardo Gómez Vargas","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"36","2014-01-08","Valentina Torres Vega","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"37","2014-01-08","Luisa García López","B01KBH547A","BLU Studio X8","21","21252.00"
"38","2014-01-09","Juan Carlos Rodríguez Huamán","B00NQGP42Y","Moto G Plus","3","7128.00"
"39","2014-01-09","Ana María Castro Chávez","B00F3J4B5S","Samsung Galaxy A20","2","3450.00"
"40","2014-01-09","Gabriela Rojas Huerta","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"41","2014-01-09","Carla Fernández Mendoza","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"42","2014-01-10","Eduardo Cáceres Salazar","B00J0O5J4Y","Xiaomi Redmi Note 9","1","1683.00"
